num_sellers,num_customers,converting_rate,num_customer_score,num_convert_score,cluster_score
694.0,15540.0,22.391930835734872,5,3,4.0
96.0,6882.0,71.6875,5,4,5.0
68.0,2773.0,40.779411764705884,4,4,4.0
28.0,2131.0,76.10714285714286,4,4,4.0
127.0,1521.0,11.976377952755906,3,2,3.0
41.0,1444.0,35.21951219512195,3,3,3.0
28.0,1379.0,49.25,3,4,3.0
7.0,1245.0,177.85714285714286,3,4,3.0
50.0,1189.0,23.78,3,3,3.0
32.0,938.0,29.3125,2,3,2.0
8.0,849.0,106.125,2,4,3.0
45.0,797.0,17.711111111111112,2,2,2.0
32.0,746.0,23.3125,2,3,2.0
16.0,713.0,44.5625,2,4,3.0
23.0,692.0,30.08695652173913,2,3,2.0
18.0,691.0,38.388888888888886,2,3,2.0
7.0,654.0,93.42857142857143,2,4,3.0
32.0,633.0,19.78125,2,3,2.0
5.0,613.0,122.6,2,4,3.0
18.0,570.0,31.666666666666668,2,3,2.0
14.0,565.0,40.357142857142854,2,4,3.0
52.0,510.0,9.807692307692308,2,1,2.0
5.0,442.0,88.4,1,4,2.0
13.0,433.0,33.30769230769231,1,3,2.0
10.0,427.0,42.7,1,4,2.0
12.0,426.0,35.5,1,3,2.0
7.0,409.0,58.42857142857143,1,4,2.0
15.0,383.0,25.533333333333335,1,3,2.0
4.0,380.0,95.0,1,4,2.0
12.0,374.0,31.166666666666668,1,3,2.0
12.0,369.0,30.75,1,3,2.0
1.0,353.0,353.0,1,4,2.0
33.0,335.0,10.151515151515152,1,2,1.0
5.0,334.0,66.8,1,4,2.0
10.0,328.0,32.8,1,3,2.0
13.0,323.0,24.846153846153847,1,3,2.0
4.0,320.0,80.0,1,4,2.0
10.0,316.0,31.6,1,3,2.0
26.0,306.0,11.76923076923077,1,2,1.0
10.0,296.0,29.6,1,3,2.0
9.0,286.0,31.77777777777778,1,3,2.0
3.0,285.0,95.0,1,4,2.0
1.0,281.0,281.0,1,4,2.0
8.0,280.0,35.0,1,3,2.0
20.0,277.0,13.85,1,2,1.0
14.0,273.0,19.5,1,3,2.0
40.0,271.0,6.775,1,1,1.0
6.0,270.0,45.0,1,4,2.0
3.0,266.0,88.66666666666667,1,4,2.0
22.0,264.0,12.0,1,2,1.0
2.0,256.0,128.0,1,4,2.0
10.0,250.0,25.0,1,3,2.0
2.0,248.0,124.0,1,4,2.0
13.0,241.0,18.53846153846154,1,2,1.0
6.0,240.0,40.0,1,3,2.0
3.0,239.0,79.66666666666667,1,4,2.0
1.0,238.0,238.0,1,4,2.0
3.0,234.0,78.0,1,4,2.0
2.0,232.0,116.0,1,4,2.0
6.0,226.0,37.666666666666664,1,3,2.0
1.0,225.0,225.0,1,4,2.0
18.0,224.0,12.444444444444445,1,2,1.0
10.0,224.0,22.4,1,3,2.0
3.0,211.0,70.33333333333333,1,4,2.0
9.0,210.0,23.333333333333332,1,3,2.0
2.0,207.0,103.5,1,4,2.0
5.0,203.0,40.6,1,4,2.0
3.0,197.0,65.66666666666667,1,4,2.0
15.0,196.0,13.066666666666666,1,2,1.0
7.0,194.0,27.714285714285715,1,3,2.0
3.0,191.0,63.666666666666664,1,4,2.0
17.0,190.0,11.176470588235293,1,2,1.0
21.0,188.0,8.952380952380953,1,1,1.0
3.0,186.0,62.0,1,4,2.0
9.0,185.0,20.555555555555557,1,3,2.0
1.0,185.0,185.0,1,4,2.0
7.0,183.0,26.142857142857142,1,3,2.0
5.0,183.0,36.6,1,3,2.0
9.0,172.0,19.11111111111111,1,2,1.0
2.0,171.0,85.5,1,4,2.0
4.0,170.0,42.5,1,4,2.0
5.0,169.0,33.8,1,3,2.0
2.0,165.0,82.5,1,4,2.0
1.0,165.0,165.0,1,4,2.0
20.0,161.0,8.05,1,1,1.0
12.0,161.0,13.416666666666666,1,2,1.0
11.0,159.0,14.454545454545455,1,2,1.0
12.0,157.0,13.083333333333334,1,2,1.0
11.0,155.0,14.090909090909092,1,2,1.0
14.0,153.0,10.928571428571429,1,2,1.0
5.0,152.0,30.4,1,3,2.0
5.0,146.0,29.2,1,3,2.0
2.0,145.0,72.5,1,4,2.0
6.0,143.0,23.833333333333332,1,3,2.0
4.0,141.0,35.25,1,3,2.0
1.0,141.0,141.0,1,4,2.0
1.0,140.0,140.0,1,4,2.0
2.0,139.0,69.5,1,4,2.0
1.0,139.0,139.0,1,4,2.0
8.0,137.0,17.125,1,2,1.0
4.0,136.0,34.0,1,3,2.0
3.0,134.0,44.666666666666664,1,4,2.0
10.0,133.0,13.3,1,2,1.0
1.0,131.0,131.0,1,4,2.0
4.0,130.0,32.5,1,3,2.0
4.0,128.0,32.0,1,3,2.0
1.0,125.0,125.0,1,4,2.0
6.0,123.0,20.5,1,3,2.0
4.0,123.0,30.75,1,3,2.0
5.0,122.0,24.4,1,3,2.0
4.0,122.0,30.5,1,3,2.0
10.0,120.0,12.0,1,2,1.0
2.0,120.0,60.0,1,4,2.0
4.0,119.0,29.75,1,3,2.0
1.0,117.0,117.0,1,4,2.0
3.0,113.0,37.666666666666664,1,3,2.0
1.0,113.0,113.0,1,4,2.0
3.0,111.0,37.0,1,3,2.0
2.0,111.0,55.5,1,4,2.0
1.0,111.0,111.0,1,4,2.0
1.0,110.0,110.0,1,4,2.0
6.0,109.0,18.166666666666668,1,2,1.0
2.0,109.0,54.5,1,4,2.0
2.0,107.0,53.5,1,4,2.0
2.0,105.0,52.5,1,4,2.0
3.0,103.0,34.333333333333336,1,3,2.0
1.0,102.0,102.0,1,4,2.0
4.0,101.0,25.25,1,3,2.0
2.0,101.0,50.5,1,4,2.0
2.0,101.0,50.5,1,4,2.0
3.0,100.0,33.333333333333336,1,3,2.0
2.0,100.0,50.0,1,4,2.0
1.0,100.0,100.0,1,4,2.0
4.0,98.0,24.5,1,3,2.0
1.0,98.0,98.0,1,4,2.0
1.0,98.0,98.0,1,4,2.0
